description,_id,size,date,probability_1_class,probability_1_value,probability_2_class,probability_2_value,probability_3_class,probability_3_value,probability_4_class,probability_4_value,probability_5_class,probability_5_value,probability_6_class,probability_6_value,probability_7_class,probability_7_value,probability_8_class,probability_8_value,probability_9_class,probability_9_value,probability_10_class,probability_10_value,probability_11_class,probability_11_value,probability_12_class,probability_12_value,probability_13_class,probability_13_value,probability_14_class,probability_14_value,probability_15_class,probability_15_value,probability_16_class,probability_16_value
 Campus Miraflores,627e94c47b283211c24d0eb7,514727,2022-05-09 10:59:59,animal/others,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,628006fbae49cd33b56d495f,8640044,2022-05-13 13:33:21,environmental/wind,0.7090000000000001,animal/others,0.105,environmental/rain,0.06,animal/bird,0.027999999999999997,environmental/others,0.027000000000000003,alerts/siren,0.017,Music/music,0.013999999999999999,humans/others,0.013000000000000001,,,,,,,,,,,,,,,,
 Campus Miraflores,62800724ae49cd33b56d4962,8640044,2022-05-14 15:50:52,alerts/siren,0.358,environmental/wind,0.107,mechanical/air_conditioner,0.1,animal/others,0.098,mechanical/others,0.09300000000000001,Music/music,0.07400000000000001,alerts/horns,0.059000000000000004,humans/others,0.057,animal/dog,0.028999999999999998,,,,,,,,,,,,,,
 Campus Miraflores,6280074cae49cd33b56d4965,8640044,2022-05-13 14:27:53,alerts/siren,0.309,mechanical/others,0.305,environmental/wind,0.11,alerts/horns,0.08,animal/others,0.053,Music/music,0.052000000000000005,humans/others,0.031,mechanical/air_conditioner,0.016,environmental/others,0.013000000000000001,,,,,,,,,,,,,,
 Campus Miraflores,62800776ae49cd33b56d4968,8640044,2022-05-13 18:44:27,alerts/siren,0.292,mechanical/air_conditioner,0.177,alerts/horns,0.135,mechanical/others,0.096,Music/music,0.065,environmental/wind,0.062,animal/others,0.055999999999999994,environmental/others,0.033,humans/others,0.032,animal/dog,0.013999999999999999,vehicles/airborne,0.013999999999999999,animal/bird,0.011000000000000001,,,,,,,,
 Campus Miraflores,62800786ae49cd33b56d4969,8640044,2022-05-14 18:31:27,environmental/wind,0.511,animal/others,0.184,alerts/siren,0.055,animal/bird,0.040999999999999995,mechanical/air_conditioner,0.036000000000000004,environmental/others,0.035,humans/others,0.03,animal/dog,0.027999999999999997,mechanical/others,0.027000000000000003,environmental/rain,0.022000000000000002,vehicles/airborne,0.012,,,,,,,,,,
 Campus Miraflores,628007bcae49cd33b56d496b,8640044,2022-05-13 14:57:10,vehicles/others,0.56,environmental/wind,0.191,environmental/rain,0.11199999999999999,humans/others,0.096,environmental/waves,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62800815ae49cd33b56d496f,8640044,2022-05-14 18:39:32,animal/bird,0.594,humans/others,0.162,animal/others,0.069,animal/dog,0.049,environmental/others,0.046,environmental/rain,0.045,mechanical/air_conditioner,0.015,environmental/wind,0.012,,,,,,,,,,,,,,,,
 Campus Miraflores,62800893ae49cd33b56d4976,8640044,2022-05-13 17:02:25,alerts/siren,0.27699999999999997,environmental/wind,0.159,environmental/others,0.111,Music/music,0.084,humans/others,0.068,mechanical/others,0.059000000000000004,mechanical/air_conditioner,0.057999999999999996,alerts/horns,0.051,animal/others,0.05,animal/bird,0.025,environmental/rain,0.018000000000000002,vehicles/airborne,0.018000000000000002,,,,,,,,
 Campus Miraflores,628008a1ae49cd33b56d4977,8640044,2022-05-13 15:43:39,animal/bird,0.24600000000000002,humans/others,0.228,animal/others,0.16,environmental/wind,0.14300000000000002,vehicles/airborne,0.047,animal/dog,0.042,Music/music,0.036000000000000004,environmental/others,0.027999999999999997,alerts/siren,0.025,environmental/rain,0.023,,,,,,,,,,,,
 Campus Miraflores,62800924ae49cd33b56d4981,8640044,2022-05-14 17:41:58,alerts/siren,0.428,mechanical/others,0.15,Music/music,0.122,alerts/horns,0.106,mechanical/air_conditioner,0.054000000000000006,environmental/wind,0.051,animal/others,0.034,animal/dog,0.023,humans/others,0.013999999999999999,,,,,,,,,,,,,,
 Campus Miraflores,6280094dae49cd33b56d4984,8640044,2022-05-14 17:12:40,environmental/wind,0.431,vehicles/others,0.165,alerts/siren,0.151,mechanical/others,0.059000000000000004,humans/others,0.054000000000000006,mechanical/air_conditioner,0.048,animal/bird,0.016,Music/music,0.016,environmental/rain,0.013999999999999999,animal/others,0.013999999999999999,,,,,,,,,,,,
